Name(Chinese),Name(English),Location(Chinese),Location(English),AdditionalInfo
保德街,Po Tuck Street,西營盤,Sai Ying Pun,None
普通道,Po Tung Road,西貢,Sai Kung,None
寶華街,Po Wa Street,上環,Sheung Wan,None
蒲蕙里,Po Wai Lane,慈雲山,Tsz Wan Shan,None
寶運路,Po Wan Road,上水,Sheung Shui,None
保榮路,Po Wing Road,上水,Sheung Shui,None
寶湖里,Po Wu Lane,大埔,Tai Po,None
普仁街,Po Yan Street,上環,Sheung Wan,None
寶邑路,Po Yap Road,將軍澳,Tseung Kwan O,None
普義街,Po Yee Street,上環,Sheung Wan,None
普益里,Po Yick Lane,大埔,Tai Po,None
普益街,Po Yick Street,大埔,Tai Po,None
蒲英里,Po Ying Lane,慈雲山,Tsz Wan Shan,None
寶業街,Po Yip Street,元朗,Yuen Long,None
寶源里,Po Yuen Lane,西營盤,Sai Ying Pun,None
博泉徑,Pok Chuen Path,沙田,Sha Tin,None
博泉街,Pok Chuen Street,沙田,Sha Tin,None
薄扶林水塘道,Pok Fu Lam Reservoir Road,薄扶林,Pok Fu Lam,None
薄扶林道,Pok Fu Lam Road,薄扶林、西營盤、香港仔、半山區,"Pok Fu Lam, Sai Ying Pun, Aberdeen, Mid-levels",None
博學里,Pok Hok Lane,大角咀,Tai Kok Tsui,None
博文街,Pok Man Street,大角咀,Tai Kok Tsui,None
壆圍路,Pok Wai Road,潭尾、錦田,"Tam Mei, Kam Tin",None
壆圍南路,Pok Wai South Road,元朗,Yuen Long,None
壆圍西路,Pok Wai West Road,潭尾、錦田,"Tam Mei, Kam Tin",None
博研路,Pok Yin Road,大埔滘,Tai Po Kau,None
蒲飛徑,Pokfield Path,堅尼地城,Kennedy Town,None
蒲飛路,Pokfield Road,薄扶林,Pok Fu Lam,None
警校道,Police School Road,黃竹坑,Wong Chuk Hang,None
警署徑,Police Station Path,長洲,Cheung Chau,None
普樂道,Pollock's Path,山頂,The Peak,officials
白楊街,Poplar Street,深水埗,Sham Shui Po,None
砵蘭街,Portland Street,旺角、油麻地,"Mong Kok, Yau Ma Tei",british-o
水坑口街,Possession Street,上環,Sheung Wan,None
砵典乍街,Pottinger Street,中環,Central,governor
磅巷,Pound Lane,上環,Sheung Wan,singlecn
大強街,Power Street,北角,North Point,None
寶勒巷,Prat Avenue,尖沙咀,Tsim Sha Tsui,None
東沙島街,Pratas Street,深水埗,Sham Shui Po,chi-place
海傍街,Praya Street,長洲,Cheung Chau,None
堅彌地城海旁,Praya Kennedy Town,堅尼地城、石塘咀,"Kennedy Town, Shek Tong Tsui",None
裴樂士道,Price Road,銅鑼灣,Causeway Bay,None
太子道東,Prince Edward Road East,新蒲崗、旺角,"San Po Kong, Mong Kok",royal
太子道西,Prince Edward Road West,九龍塘、旺角、九龍城、深水埗、大角咀,"Kowloon Tong, Mong Kok, Kowloon City, Sham Shui Po, Tai Kok Tsui",royal
太子台,Prince's Terrace,半山區,Mid-levels,None
瑪嘉烈醫院路,Princess Margaret Hospital Road,葵涌,Kwai Chung,None
公主道,Princess Margaret Road,何文田,Ho Man Tin,royal
金桃徑,Prunus Path,元朗,Yuen Long,None
眾坊街,Public Square Street,油麻地,Yau Ma Tei,None
培正道,Pui Ching Road,何文田,Ho Man Tin,None
培民街,Pui Man Street,九龍城,Kowloon City,None
培成里,Pui Shing Lane,將軍澳,Tseung Kwan O,None
培成路,Pui Shing Road,將軍澳,Tseung Kwan O,None
培德街,Pui Tak Street,石硤尾,Shek Kip Mei,None
杯渡路,Pui To Road,屯門,Tuen Mun,None
沛榮里,Pui Wing Lane,屯門,Tuen Mun,None
培賢里,Pui Yin Lane,大埔,Tai Po,None
半春園路,Pun Chun Yuen Road,大埔,Tai Po,None
半山街,Pun Shan Street,荃灣,Tsuen Wan,None
蓬萊徑,Pung Loi Avenue,將軍澳,Tseung Kwan O,None
蓬萊路,Pung Loi Road,將軍澳,Tseung Kwan O,None
包華士道,Purves Road,銅鑼灣,Causeway Bay,None
鰂魚涌街,Quarry Bay Street,鰂魚涌,Quarry Bay,None
伊利沙伯醫院徑,Queen Elizabeth Hospital Path,油麻地,Yau Ma Tei,royal
伊利沙伯醫院路,Queen Elizabeth Hospital Road,油麻地,Yau Ma Tei,royal
皇后街,Queen Street,上環、西營盤,"Sheung Wan, Sai Ying Pun",royal
域多利皇后街,Queen Victoria Street,中環,Central,royal
皇后大道中,Queen's Road Central,中環、上環,"Central, Sheung Wan",royal
皇后大道東,Queen's Road East,灣仔,Wan Chai,royal
皇后大道西,Queen's Road West,西營盤、石塘咀、上環,"Sai Ying Pun, Shek Tong Tsui, Sheung Wan",royal
金鐘道,Queensway,金鐘,Admiralty,royal
順風道,Railway Approach,紅磡,Hung Hom,None
碧翠路,Razor Hill Road,清水灣,Clear Water Bay,None
新填地街,Reclamation Street,油麻地、旺角、深水埗,"Yau Ma Tei, Mong Kok, Sham Shui Po",None
紅山道,Red Hill Road,大潭,Tai Tam,None
列拿士地台,Rednaxela Terrace,半山區,Mid-levels,None
復康徑,Rehab Path,觀塘,Kwun Tong,None
聯福道,Renfrew Road,九龍塘,Kowloon Tong,british-p
淺水灣道,Repulse Bay Road,淺水灣,Repulse Bay,None
朗德道,Rhondda Road,九龍塘,Kowloon Tong,british-p
河北第十街,River North 10th Street,元朗,Yuen Long,None
河北第十一街,River North 11th Street,元朗,Yuen Long,None
河北第十二街,River North 12th Street,元朗,Yuen Long,None
河北第一街,River North 1st Street,元朗,Yuen Long,None
河北第二街,River North 2nd Street,元朗,Yuen Long,None
河北第三街,River North 3rd Street,元朗,Yuen Long,None
河北第四街,River North 4th Street,元朗,Yuen Long,None
河北第五街,River North 5th Street,元朗,Yuen Long,None
河北第六街,River North 6th Street,元朗,Yuen Long,None
河北第七街,River North 7th Street,元朗,Yuen Long,None
河北第八街,River North 8th Street,元朗,Yuen Long,None
河北第九街,River North 9th Street,元朗,Yuen Long,None
河北里,River North Lane,元朗,Yuen Long,None
羅便臣道,Robinson Road,半山區,Mid-levels,governor
石山街,Rock Hill Street,堅尼地城,Kennedy Town,None
樂禮街,Rodney Street,金鐘,Admiralty,ship
玫瑰里,Rose Lane,西營盤,Sai Ying Pun,None
玫瑰徑,Rose Path,元朗,Yuen Long,None
玫瑰街,Rose Street,又一村,Yau Yat Chuen,None
紫檀路,Rose Wood Road,新田、潭尾,"San Tin, Tam Mei",None
樂善美道,Rosmead Road,山頂,The Peak,governor
荃錦公路,Route Twisk,荃灣,Tsuen Wan,None
加州豪園大道,Royal Palms Boulevard,新田,San Tin,None
老沙路街,Rozario Street,上環,Sheung Wan,None
林士街,Rumsey Street,上環,Sheung Wan,officials
羅素街,Russell Street,銅鑼灣,Causeway Bay,officials
律倫街,Rutland Quadrant,九龍塘,Kowloon Tong,british-p
律打街,Rutter Street,上環,Sheung Wan,None
沙浦道,Sa Po Road,九龍城,Kowloon City,None
莎文杜徑,Sacramento Avenue,元朗,Yuen Long,california
西祥街,Sai Cheung Street,堅尼地城,Kennedy Town,None
西祥街北,Sai Cheung Street North,石塘咀,Shek Tong Tsui,None
西菁街,Sai Ching Street,元朗,Yuen Long,None
西邨路,Sai Chuen Road,深水埗,Sham Shui Po,None
西興里,Sai Hing Lane,西營盤,Sai Ying Pun,None
西康里,Sai Hong Lane,堅尼地城、石塘咀,"Kennedy Town, Shek Tong Tsui",None
西貢海傍廣場,Sai Kung Hoi Pong Square,西貢,Sai Kung,None
西貢海傍街,Sai Kung Hoi Pong Street,西貢,Sai Kung,None
西貢正街,Sai Kung Main Street,西貢,Sai Kung,None
西貢萬宜路,Sai Kung Man Yee Road,西貢,Sai Kung,None
西貢道,Sai Kung Road,西貢,Sai Kung,None
西貢鄉事會里,Sai Kung Rural Committee Lane,西貢,Sai Kung,None
西貢西灣路,Sai Kung Sai Wan Road,西貢、塔門,"Sai Kung, Grass Island",None
西貢大街,Sai Kung Tai Street,西貢,Sai Kung,None
西貢醫局街,Sai Kung Yee Kuk Street,西貢,Sai Kung,None
西貢元洲街,Sai Kung Yuen Chau Street,西貢,Sai Kung,None
世歌路,Sai Kwo Road,新田,San Tin,None
西樓角路,Sai Lau Kok Road,荃灣,Tsuen Wan,None
西寧街,Sai Ning Street,堅尼地城,Kennedy Town,None
西安里,Sai On Lane,西營盤,Sai Ying Pun,None
西安街,Sai On Street,香港仔,Aberdeen,chi-place
西市街,Sai See Street,堅尼地城,Kennedy Town,None
西沙路,Sai Sha Road,西貢、馬鞍山,"Sai Kung, Ma On Shan",None
細山路,Sai Shan Road,青衣,Tsing Yi,None
西街,Sai Street,上環,Sheung Wan,singlecn
西堤街,Sai Tai Street,元朗,Yuen Long,None
西草灣路,Sai Tso Wan Road,青衣,Tsing Yi,None
西華里,Sai Wa Lane,西營盤,Sai Ying Pun,None
西灣河街,Sai Wan Ho Street,西灣河、筲箕灣,"Sai Wan Ho, Shau Kei Wan",None
西灣路,Sai Wan Road,長洲,Cheung Chau,None
西灣台,Sai Wan Terrace,鰂魚涌,Quarry Bay,None
西橫巷,Sai Wang Lane,西貢,Sai Kung,None
西湖里,Sai Woo Lane,西營盤,Sai Ying Pun,None
洗衣街,Sai Yee Street,旺角,Mong Kok,None
西洋菜里,Sai Yeung Choi Lane,旺角,Mong Kok,None
西洋菜北街,Sai Yeung Choi Street North,旺角、深水埗,"Mong Kok, Sham Shui Po",None
西洋菜南街,Sai Yeung Choi Street South,旺角,Mong Kok,None
西裕街,Sai Yu Street,元朗,Yuen Long,None
西源里,Sai Yuen Lane,西營盤,Sai Ying Pun,None
西元里,Sai Yun Lane,筲箕灣,Shau Kei Wan,None
西貢街,Saigon Street,油麻地,Yau Ma Tei,None
梳士巴利道,Salisbury Road,尖沙咀,Tsim Sha Tsui,british-o
救世軍街,Salvation Army Street,灣仔,Wan Chai,None
三祝街,Sam Chuk Street,新蒲崗,San Po Kong,None
三家里,Sam Ka Lane,上環,Sheung Wan,None
三門仔路,Sam Mun Tsai Road,大埔,Tai Po,None
三板街,Sam Pan Street,灣仔,Wan Chai,None
三陂坊,Sam Pei Square,荃灣,Tsuen Wan,None
三聖街,Sam Shing Street,屯門,Tuen Mun,None
三多里,Sam To Lane,西營盤,Sai Ying Pun,None
三棟屋路,Sam Tung Uk Road,荃灣,Tsuen Wan,None
三和路,Sam Wo Road,流浮山,Lau Fau Shan,None
新祥街,San Cheung Street,上水,Sheung Shui,None
新竹街,San Chuk Street,火炭,Fo Tan,None
聖地牙哥徑,San Diego Avenue,元朗,Yuen Long,california
新發街,San Fat Street,上水,Sheung Shui,None
舊金山徑,San Francisco Path,何文田,Ho Man Tin,california
聖梵哥徑,San Franscisco Avenue,元朗,Yuen Long,california
新灰街,San Fui Street,元朗,Yuen Long,None
新福路,San Fuk Road,屯門,Tuen Mun,None
新豐路,San Fung Avenue,上水,Sheung Shui,None
新廈街,San Ha Street,柴灣,Chai Wan,None
新起村街,San Hi Tsuen Street,元朗,Yuen Long,None
新興後街,San Hing Back Street,長洲,Cheung Chau,None
新興海傍街,San Hing Praya Street,長洲,Cheung Chau,None
新慶路,San Hing Road,藍地,Lam Tei,None
新興街,San Hing Street,長洲,Cheung Chau,None
新康街,San Hong Street,上水,Sheung Shui,None
新合里,San Hop Lane,屯門,Tuen Mun,None
新墟徑,San Hui Path,屯門,Tuen Mun,None
新街市里,San Kai Shi Lane,長洲,Cheung Chau,None
新勤街,San Kan Street,上水,Sheung Shui,None
新健街,San Kin Street,上水,Sheung Shui,None
新功街,San Kung Street,上水,Sheung Shui,None
新葵街,San Kwai Street,葵涌,Kwai Chung,None
新柳街,San Lau Street,紅磡,Hung Hom,None
新樓街,San Lau Street,沙頭角,Sha Tau Kok,None
新利街,San Lee Street,牛頭角,Ngau Tau Kok,None
新力街,San Lik Street,屯門,Tuen Mun,None
新樂街,San Lok Street,上水,Sheung Shui,None
新碼頭街,San Ma Tau Street,土瓜灣,To Kwa Wan,None
新安街,San On Street,屯門,Tuen Mun,None
新北社街,San Pak She Street,長洲,Cheung Chau,None
新平街,San Ping Circuit,屯門,Tuen Mun,None
新寶街,San Po Street,上水,Sheung Shui,None
新秀街,San Sau Street,屯門,Tuen Mun,None
新深路,San Sham Road,新田,San Tin,None
新山道,San Shan Road,土瓜灣,To Kwa Wan,None
散石灣北路,San Shek Wan North Road,屯門,Tuen Mun,None
新市街,San Shi Street,鴨脷洲,Ap Lei Chau,None
新成路,San Shing Avenue,上水,Sheung Shui,None
新順街,San Shun Street,牛頭角,Ngau Tau Kok,None
新錫路,San Sik Road,天水圍,Tin Shui Wai,None
西蒙徑,San Simeon Avenue,元朗,Yuen Long,california
新德街,San Tak Street,屯門,Tuen Mun,None
新潭路,San Tam Road,潭尾、元朗,"Tam Mei, Yuen Long",None
新達里,San Tat Lane,藍地,Lam Tei,None
新田公路,San Tin Highway,潭尾、新田,"Tam Mei, San Tin",None
新田村路,San Tin Tsuen Road,新田,San Tin,None
新青街,San Tsing Street,屯門,Tuen Mun,None
新財街,San Tsoi Street,上水,Sheung Shui,None
新村街,San Tsuen Street,荃灣,Tsuen Wan,None
新華安里,San Wa On Lane,大埔,Tai Po,None
新華里,San Wah Lane,屯門,Tuen Mun,None
新圍街,San Wai Street,紅磡,Hung Hom,None
新圍仔路,San Wai Tsai Road,大埔,Tai Po,None
新運里,San Wan Lane,上水,Sheung Shui,None
新運路,San Wan Road,粉嶺、上水,"Fanling, Sheung Shui",None
新榮街,San Wing Street,上水,Sheung Shui,None
新和里,San Wo Lane,屯門,Tuen Mun,None
新益里,San Yick Lane,屯門,Tuen Mun,None
沙燕橋,Sand Martin Bridge,沙田,Sha Tin,None
山市街,Sands Street,堅尼地城,Kennedy Town,None
大口環道,Sandy Bay Road,薄扶林,Pok Fu Lam,None
聖巴拿徑,Santa Barbara Avenue,元朗,Yuen Long,california
聖哥拉徑,Santa Clara Avenue,元朗,Yuen Long,california
瑪利亞徑,Santa Maria Avenue,元朗,Yuen Long,california
蒙尼卡徑,Santa Monica Avenue,元朗,Yuen Long,california
寶石徑,Sapphire Path,清水灣,Clear Water Bay,None
沙宣道,Sassoon Road,薄扶林,Pok Fu Lam,None
秀竹園道,Sau Chuk Yuen Road,九龍城,Kowloon City,None
壽富街,Sau Fu Street,元朗,Yuen Long,None
秀豐街,Sau Fung Street,秀茂坪,Sau Mau Ping,None
秀茂坪道,Sau Mau Ping Road,秀茂坪,Sau Mau Ping,None
秀明道,Sau Ming Road,秀茂坪,Sau Mau Ping,None
秀雅道,Sau Nga Road,觀塘,Kwun Tong,None
秀華坊,Sau Wa Fong,灣仔,Wan Chai,None
守仁徑,Sau Yan Path,牛頭角,Ngau Tau Kok,None
匯景道,Sceneway Road,藍田,Lam Tin,None
觀景路,Scenic Road,赤鱲角,Chek Lap Kok,None
美景徑,Scenic Villa Drive,薄扶林,Pok Fu Lam,None
學校路,School Road,長洲,Cheung Chau,None
書館街,School Street,銅鑼灣,Causeway Bay,None
捷船街,Schooner Street,灣仔,Wan Chai,None
科學館徑,Science Museum Path,尖沙咀,Tsim Sha Tsui,None
科學館道,Science Museum Road,尖沙咀,Tsim Sha Tsui,None
科學館廣場,Science Museum Square,尖沙咀,Tsim Sha Tsui,None
科技大道東,Science Park East Avenue,沙田,Sha Tin,None
科學園路,Science Park Road,馬鞍山、大埔滘,"Ma On Shan, Tai Po Kau",None
科技大道西,Science Park West Avenue,沙田,Sha Tin,None
童軍徑,Scout Path,尖沙咀、油麻地,"Tsim Sha Tsui, Yau Ma Tei",None
海鳴路,Sea Point Road,愉景灣,Discovery Bay,None
海蜂徑,Seabee Lane,愉景灣,Discovery Bay,None
海燕徑,Seabird Lane,愉景灣,Discovery Bay,None
海馬徑,Seahorse Lane,愉景灣,Discovery Bay,None
麗海堤岸路,Seaview Promenade,淺水灣,Repulse Bay,None
第二巷,Second Lane,銅鑼灣,Causeway Bay,None
第二街,Second Street,西營盤,Sai Ying Pun,None
市場街,See Cheung Street,西貢,Sai Kung,None
西谷道,Selkirk Road,九龍塘,Kowloon Tong,british-p
海藍徑,Serene Avenue,愉景灣,Discovery Bay,None
安寧徑,Serenity Path,清水灣,Clear Water Bay,None
施勳道,Severn Road,山頂,The Peak,officials
西摩道,Seymour Road,半山區,Mid-levels,officer
西摩台,Seymour Terrace,半山區,Mid-levels,None
沙洲里路,Sha Chau Lei Road,洪水橋、屏山,"Hung Shui Kiu, Ping Shan",None
沙下路,Sha Ha Road,西貢,Sai Kung,None
沙河路,Sha Ho Road,沙頭角,Sha Tau Kok,None
沙角尾路,Sha Kok Mei Road,西貢,Sai Kung,None
沙角街,Sha Kok Street,沙田,Sha Tin,None
沙欄路,Sha Lan Road,汀角,Ting Kok,None
沙瀝公路,Sha Lek Highway,小瀝源、沙田,"Siu Lek Yuen, Sha Tin",None
沙嶺道,Sha Ling Road,上水,Sheung Shui,None
沙安街,Sha On Street,馬鞍山,Ma On Shan,None
沙埔村路,Sha Po Tsuen Road,錦田,Kam Tin,None
沙頭角公路龍躍頭段,Sha Tau Kok Road - Lung Yeuk Tau,粉嶺,Fanling,None
沙頭角公路馬尾下段,Sha Tau Kok Road - Ma Mei Ha,粉嶺,Fanling,None
沙頭角公路石涌凹段,Sha Tau Kok Road - Shek Chung Au,沙頭角、粉嶺,"Sha Tau Kok, Fanling",None
沙頭角公路禾坑段,Sha Tau Kok Road - Wo Hang,沙頭角,Sha Tau Kok,None
沙田正街,Sha Tin Central Street,沙田,Sha Tin,None
沙田嶺路,Sha Tin Heights Road,大圍,Tai Wai,None
沙田嶺隧道,Sha Tin Heights Tunnel,大圍,Tai Wai,None
沙田路,Sha Tin Road,沙田,Sha Tin,None
沙田鄉事會路,Sha Tin Rural Committee Road,沙田,Sha Tin,None
沙田車站圍,Sha Tin Station Circuit,沙田,Sha Tin,None
沙田頭路,Sha Tin Tau Road,沙田,Sha Tin,None
沙田圍路,Sha Tin Wai Road,沙田,Sha Tin,None
沙井路,Sha Tseng Road,元朗,Yuen Long,None
沙咀街,Sha Tsui Path,西貢,Sai Kung,None
沙咀道,Sha Tsui Road,荃灣,Tsuen Wan,None
沙灣徑,Sha Wan Drive,薄扶林,Pok Fu Lam,None
深涌路,Sham Chung Road,元朗、大棠,"Yuen Long, Tai Tong",None
深涌村路,Sham Chung Tsuen Road,元朗,Yuen Long,None
深豐路,Sham Fung Road,東涌,Tung Chung,None
深康路,Sham Hong Road,深井,Sham Tseng,None
深旺道,Sham Mong Road,大角咀、深水埗、長沙灣,"Tai Kok Tsui, Sham Shui Po, Cheung Sha Wan",None
深盛路,Sham Shing Road,長沙灣,Cheung Sha Wan,None
深水角徑,Sham Shui Kok Drive,愉景灣,Discovery Bay,None
深井村路,Sham Tseng Tsuen Road,深井,Sham Tseng,None
深慈街,Sham Tsz Street,深井,Sham Tseng,None
深屈道,Sham Wat Road,昂坪,Ngong Ping,None
深圳街,Shamchun Street,旺角,Mong Kok,chi-place
山下路,Shan Ha Road,元朗,Yuen Long,None
山光道,Shan Kwong Road,跑馬地,Happy Valley,None
山寮下路,Shan Liu Ha Road,西貢,Sai Kung,None
山寮路,Shan Liu Road,汀角,Ting Kok,None
山尾街,Shan Mei Street,沙田,Sha Tin,None
山明街,Shan Ming Street,鴨脷洲,Ap Lei Chau,None
山南路,Shan Nam Road,大埔,Tai Po,None
山邊台,Shan Pin Terrace,筲箕灣,Shau Kei Wan,None
山貝河東路,Shan Pui Ho East Road,元朗,Yuen Long,None
山貝路,Shan Pui Road,元朗,Yuen Long,None
山塘路,Shan Tong Road,大埔,Tai Po,None
山咀村路,Shan Tsui Village Road,沙頭角,Sha Tau Kok,None
山賢路,Shan Yin Road,大埔,Tai Po,None
上海街,Shanghai Street,油麻地、旺角、尖沙咀,"Yau Ma Tei, Mong Kok, Tsim Sha Tsui",chi-place
山西街,Shansi Street,紅磡,Hung Hom,chi-place
山東街,Shantung Street,旺角,Mong Kok,chi-place
十八鄉路,Shap Pat Heung Road,元朗,Yuen Long,None
霎東街,Sharp Street East,銅鑼灣,Causeway Bay,None
霎西街,Sharp Street West,灣仔,Wan Chai,None
沙田坳道,Shatin Pass Road,黃大仙,Wong Tai Sin,None
筲箕灣東大街,Shau Kei Wan Main Street East,筲箕灣,Shau Kei Wan,None
筲箕灣道,Shau Kei Wan Road,西灣河、筲箕灣,"Sai Wan Ho, Shau Kei Wan",None
社山路,She Shan Road,林村,Lam Tsuen,None
石棧里,Shek Chan Lane,西營盤,Sai Ying Pun,None
石溪里,Shek Kai Lane,灣仔,Wan Chai,None
石建街,Shek Kin Street,葵涌,Kwai Chung,None
石硤尾街,Shek Kip Mei Street,深水埗、石硤尾,"Sham Shui Po, Shek Kip Mei",None
石角路,Shek Kok Road,將軍澳,Tseung Kwan O,None
石崗機場路,Shek Kong Airfield Road,石崗,Shek Kong,None
石鼓壟道,Shek Ku Lung Road,九龍城,Kowloon City,None
石鼓街,Shek Ku Street,何文田,Ho Man Tin,None
石貴街,Shek Kwai Street,荃灣,Tsuen Wan,None
石榴洞街,Shek Lau Tung Street,火炭,Fo Tan,None
石梨街,Shek Li Street,葵涌,Kwai Chung,None
石蓮路,Shek Lin Road,大埔,Tai Po,None
石龍街,Shek Lung Street,油麻地,Yau Ma Tei,chi-place
石文徑,Shek Man Path,葵涌,Kwai Chung,None
石門甲道,Shek Mun Kap Road,東涌,Tung Chung,None
石澳山仔路,Shek O Headland Road,石澳,Shek O,None
石澳道,Shek O Road,石澳,Shek O,None
石澳村路,Shek O Village Road,石澳,Shek O,None
石安街,Shek On Street,荃灣、葵涌,"Tsuen Wan, Kwai Chung",None
石排街,Shek Pai Street,葵涌,Kwai Chung,None
石排頭徑,Shek Pai Tau Path,屯門,Tuen Mun,None
石排頭路,Shek Pai Tau Road,屯門,Tuen Mun,None
石排灣道,Shek Pai Wan Road,香港仔,Aberdeen,None
石壁水塘路,Shek Pik Reservoir Road,石壁,Shek Pik,None
石埗路,Shek Po Road,洪水橋,Hung Shui Kiu,None
石貝街,Shek Pui Street,葵涌,Kwai Chung,None
石頭街,Shek Tau Street,葵涌,Kwai Chung,None
石田路,Shek Tin Road,石崗,Shek Kong,None
石塘街,Shek Tong Street,紅磡,Hung Hom,None
石寨下路,Shek Tsai Ha Road,打鼓嶺,Ta Kwu Ling,None
石仔埗街,Shek Tsai Po Street,大澳,Tai O,None
石圍角路,Shek Wai Kok Road,荃灣,Tsuen Wan,None
石湖圍路,Shek Wu Wai Road,新田,San Tin,None
石蔭路,Shek Yam Road,葵涌,Kwai Chung,None
石宜路,Shek Yi Road,葵涌,Kwai Chung,None
石英徑,Shek Ying Path,葵涌,Kwai Chung,None
蜆殼街,Shell Street,北角,North Point,None
些利街,Shelley Street,半山區、中環,"Mid-levels, Central",officials
信德街,Shelter Street,銅鑼灣,Causeway Bay,None
深圳灣公路大橋,Shenzhen Bay Bridge,流浮山,Lau Fau Shan,None
施弼街,Shepherd Street,銅鑼灣,Causeway Bay,None
常富街,Sheung Foo Street,何文田、土瓜灣,"Ho Man Tin, To Kwa Wan",None
常豐里,Sheung Fung Lane,西營盤,Sai Ying Pun,None
雙鳳街,Sheung Fung Street,黃大仙,Wong Tai Sin,None
雙喜街,Sheung Hei Street,新蒲崗,San Po Kong,None
上鄉道,Sheung Heung Road,土瓜灣,To Kwa Wan,None
常興街,Sheung Hing Street,何文田,Ho Man Tin,None
常康街,Sheung Hong Street,何文田,Ho Man Tin,None
常健街,Sheung Kin Street,土瓜灣,To Kwa Wan,None
上高灘街,Sheung Ko Tan Street,青衣,Tsing Yi,None
上角山路,Sheung Kok Shan Road,荃灣、葵涌,"Tsuen Wan, Kwai Chung",None
上角街,Sheung Kok Street,葵涌,Kwai Chung,None
上葵涌村路,Sheung Kwai Chung Tsuen Road,葵涌,Kwai Chung,None
常樂街,Sheung Lok Street,何文田,Ho Man Tin,None
常茂街,Sheung Mau Street,柴灣,Chai Wan,None
常寧路,Sheung Ning Road,將軍澳,Tseung Kwan O,None
常安街,Sheung On Street,柴灣,Chai Wan,None
常平街,Sheung Ping Street,柴灣,Chai Wan,None
常盛街,Sheung Shing Street,何文田,Ho Man Tin,None
上水東慶路,Sheung Shui Tung Hing Road,上水,Sheung Shui,None
相思灣路,Sheung Sze Wan Road,清水灣,Clear Water Bay,None
常達街,Sheung Tat Street,柴灣,Chai Wan,None
上圍里,Sheung Wai Lane,西貢,Sai Kung,None
上禾輋路,Sheung Wo Che Road,沙田,Sha Tin,None
常和街,Sheung Wo Street,何文田,Ho Man Tin,None
常怡道,Sheung Yee Road,九龍灣,Kowloon Bay,None
上元街,Sheung Yuen Street,鑽石山,Diamond Hill,None
常悅道,Sheung Yuet Road,九龍灣,Kowloon Bay,None
蟬聯街,Shim Luen Street,土瓜灣,To Kwa Wan,None
善慶街,Shin Hing Street,中環,Central,None
昇昌里,Shing Cheong Lane,長洲,Cheung Chau,None
承昌道,Shing Cheong Road,九龍灣、牛頭角,"Kowloon Bay, Ngau Tau Kok",None
成全路,Shing Chuen Road,大圍,Tai Wai,None
盛芳街,Shing Fong Street,葵涌,Kwai Chung,None
盛福街,Shing Fuk Street,葵涌,Kwai Chung,None
承豐道,Shing Fung Road,九龍灣,Kowloon Bay,None
成興街,Shing Hing Street,大圍,Tai Wai,None
城河道,Shing Ho Road,大圍,Tai Wai,None
盛康里,Shing Hong Lane,柴灣,Chai Wan,None
聖家路,Shing Ka Road,坪洲,Peng Chau,None
承啟道,Shing Kai Road,九龍城,Kowloon City,None
盛民里,Shing Man Lane,柴灣、筲箕灣,"Chai Wan, Shau Kei Wan",None
城門里,Shing Mun Lane,葵涌,Kwai Chung,None
城門道,Shing Mun Road,荃灣、葵涌,"Tsuen Wan, Kwai Chung",None
城門隧道,Shing Mun Tunnel,大圍、葵涌,"Tai Wai, Kwai Chung",None
城門隧道公路,Shing Mun Tunnel Road,大圍,Tai Wai,None
成安里,Shing On Lane,西灣河,Sai Wan Ho,None
成安街,Shing On Street,西灣河,Sai Wan Ho,None
昇平街,Shing Ping Street,跑馬地,Happy Valley,None
城西道,Shing Sai Road,石塘咀,Shek Tong Tsui,None
盛泰道,Shing Tai Road,柴灣,Chai Wan,None
盛德街,Shing Tak Street,土瓜灣,To Kwa Wan,None
盛田街,Shing Tin Street,大圍,Tai Wai,None
成運路,Shing Wan Road,大圍,Tai Wai,None
城皇街,Shing Wong Street,上環,Sheung Wan,None
成業街,Shing Yip Street,觀塘,Kwun Tong,None
勝耀街,Shing Yiu Street,葵涌,Kwai Chung,None
船街,Ship Street,灣仔,Wan Chai,singlecn
船塢里,Shipyard Lane,鰂魚涌,Quarry Bay,None
肇輝台,Shiu Fai Terrace,灣仔,Wan Chai,None
兆和街,Shiu Wo Street,荃灣,Tsuen Wan,None
述德街,Short Street,九龍城、又一村,"Kowloon City, Yau Yat Chuen",None
壽山村道,Shouson Hill Road,深水灣,Deep Water Bay,None
壽臣山道東,Shouson Hill Road East,深水灣,Deep Water Bay,None
壽臣山道西,Shouson Hill Road West,深水灣,Deep Water Bay,None
史樂信路,Shropshire Road,八鄉,Pat Heung,british-p
書局街,Shu Kuk Street,北角,North Point,None
水車館里,Shui Che Kwun Lane,元朗,Yuen Long,None
水車館街,Shui Che Kwun Street,元朗,Yuen Long,None
水廠街,Shui Chong Street,沙田,Sha Tin,None
水泉坳街,Shui Chuen Au Street,沙田,Sha Tin,None
水庫路,Shui Fu Road,洪水橋,Hung Shui Kiu,None
瑞寧街,Shui Ning Street,觀塘,Kwun Tong,None
水邊圍路,Shui Pin Wai Road,元朗,Yuen Long,None
瑞泰路,Shui Tai Road,馬鞍山,Ma On Shan,None
水頭路,Shui Tau Road,錦田,Kam Tin,None
水蕉新村路,Shui Tsiu San Tsuen Road,大棠,Tai Tong,None
